fid,area,perimeter,depth,%ponded,ponded,pond_area,min_elev
190,16,26,0.456542969,,no,0,4810.932129
191,15,26,0.358398438,0,no,0,4746.987793
192,49,56,1.217773438,0,no,0,4754.117676
193,375,180,2.05859375,0,no,0,4739.257813
194,47,60,0.435058594,0,no,0,4773.362793
195,95,86,2.466308594,0,no,0,4757.068359
196,210,120,1.419921875,0,no,0,4737.693359
197,31,40,0.524902344,,no,0,4735.159668
198,26,40,0.490722656,0,no,0,4771.827148
199,211,130,1.859375,0,no,0,4760.530762
200,28,40,0.778320313,,no,0,4815.216797
201,2775,492,5.188964844,0,no,0,4737.938477
202,386,128,2.193359375,,no,0,4758.96582
203,730,332,2.206542969,0,no,0,4729.866211
204,44,50,0.516113281,0,no,0,4746.458984
205,41,54,0.886230469,,no,0,4812.387695
206,28,36,0.475585938,0,no,0,4740.739258
207,309,194,1.30078125,0,no,0,4737.377441
208,5290,866,5.864746094,0,no,0,4731.853516
209,62,60,1.352539063,0,no,0,4721.425781
210,104,66,2.030273438,0,no,0,4732.726563
211,125,74,1.713378906,0,no,0,4722.470215
212,89,74,1.250976563,0,no,0,4726.578613
213,131,72,1.938476563,0,no,0,4727.739746
214,166,90,2.48046875,0,no,0,4734.861816
215,51295,2281,13.71435547,0.149000877,yes,7637,4718.23291
216,3429,510,5.949707031,0,no,0,4732.797852
217,522,294,1.499023438,0,no,0,4742.381348
218,235,140,1.235839844,0,no,0,4736.537598
219,85,68,0.630859375,0,no,0,4736.842773
220,13,24,0.240722656,,no,0,4770.636719
221,38633,2093,17.32128906,0.157921984,yes,6094,4717.44043
222,80,68,1.248046875,0,no,0,4765.834961
223,472,172,2.042480469,0.088983051,yes,42,4754.742676
224,138,58,3.229980469,0,no,0,4749.623047
225,189,92,1.553222656,0,no,0,4763.154297
226,56,40,0.733886719,0,no,0,4761.024902
227,40,50,0.983886719,0,no,0,4760.814453
228,108,96,1.283691406,0,no,0,4762.679199
229,444,166,2.913085938,0,no,0,4760.13916
230,222,192,1.396484375,,no,0,4779.563477
231,1250,316,4.998046875,0,no,0,4745.927246
232,1116,196,4.436523438,0.108422939,yes,121,4756.526367
233,883,224,4.115234375,,no,0,4750.263184
234,242,144,1.103515625,0,no,0,4753.869629
235,100,60,1.104492188,0,no,0,4753.870605
236,14,26,0.505859375,0,no,0,4760.24707
237,65,62,0.659179688,0,no,0,4764.489258
238,52,74,0.216796875,0,no,0,4760.89502
239,63,80,1.045898438,0,no,0,4819.864746
240,28,46,0.056152344,1,yes,28,4760.780762
241,99,104,0.069335938,1,yes,99,4760.794922
242,78,102,0.069335938,1,yes,78,4760.769043
243,24,40,0.881835938,0,no,0,4778.777832
244,61,56,1.782714844,0,no,0,4781.939453
245,64,70,0.314453125,0,no,0,4760.98584
246,2338,564,3.598632813,0.073994867,yes,173,4759.145996
247,33,46,0.857910156,0,no,0,4783.012207
248,931,312,3.192382813,0,no,0,4766.275391
249,71702,4480,17.62939453,0.03170065,yes,2271,4741.499023
250,59,68,1.990234375,0,no,0,4769.847656
251,2344,296,3.486816406,0.133105802,yes,312,4758.617676
252,208,156,1.552734375,0,no,0,4770.060059
253,887,232,2.770019531,,no,0,4755.473145
